wp_ID,wp_post_title,wp_post_name,cf__sku,cf__price,cf__regular_price,cf__sale_price,cf__stock
3226,Graduated Drop Necklace - Silver,graduated-drop-necklace,NECK007,11.99,14.99,5.99,5
3191,Nail Stickers - Silver Polka Dot,nail-stickers-polka-dot,NAIL019,9.99,9.99,,1
3194,Nail Stickers - Gold Stripes,nail-stickers-gold,NAIL021,9.99,9.99,,1
3198,Nail Stickers - Patchy Gold,nail-stickers-patchy-gold,NAIL023,9.99,9.99,,1
3196,Nail Stickers - Patchy Silver,nail-stickers-patchy,NAIL022,9.99,9.99,,1
3200,Nail Stickers - Silver Roses,nail-stickers-silver-roses,NAIL024,9.99,9.99,,1
3204,All In One Bracelet - Red,all-bracelet-red,BRACE037,11.99,14.99,5.99,1
3216,Assorted Nail Stickers - Assorted 2pk,assorted-nail-stickers,NAIL026,6.99,9.99,6.99,12
3222,Gemstone Ring - Gemstone,gemstone-ring-gemstone,RING010,5.99,7.99,5.99,12
3208,All In One Bracelet - Blue,all-bracelet-blue,BRACE038,11.99,14.99,5.99,1
3202,Nail Stickers - Solid Silver,nail-stickers-silver,NAIL025,6.99,9.99,6.99,1
3251,Bohemian Style Beaded Bracelet - Yellow,beaded-bracelet-yellow,BRACE001,8.99,10.99,8.99,1
3296,Rhinestone Choker - Black,choker-black,NECK003,18.99,24.99,14.99,2
3292,Rhinestone Choker - Yellow,choker-yellow,NECK002,18.99,24.99,14.99,2
3287,Rhinestone Choker - Lime Green,choker-lime-green,NECK001,14.99,24.99,14.99,1
3279,Bohemian Anchor Bracelet - White,bracelet,BRACE008,6.99,10.99,5.99,0
3271,Bohemian Anchor Bracelet - Baby Pink,bracelet-baby-pink,BRACE006,6.99,10.99,5.99,1
3275,Bohemian Anchor Bracelet - Pink,bracelet-pink,BRACE007,6.99,10.99,5.99,2
3267,Bohemian Style Beaded Bracelet - Purple,beaded-bracelet-purple,BRACE005,8.99,10.99,5.99,1
3259,Bohemian Style Beaded Bracelet - Blue,beaded-bracelet-blue,BRACE003,8.99,10.99,5.99,1
3263,Bohemian Style Beaded Bracelet  - Pink,beaded-bracelet-pink,BRACE004,8.99,10.99,5.99,1
3255,Bohemian Style Beaded Bracelet - Green,beaded-bracelet-green,BRACE002,8.99,10.99,5.99,1
3283,Bohemian Anchor Bracelet - Black,bracelet-black,BRACE009,6.99,10.99,5.99,1
3300,Rhinestone Choker - Turquoise,rhinestone-choker-turquoise,NECK004,18.99,24.99,14.99,1
3189,Nail Stickers - Skulls,nail-stickers-skulls,NAIL018,9.99,9.99,,3
3236,Two Way Nail Art - Red,nail-art-red,NAIL006,4.99,4.99,,1
3246,Two Way Nail Art - Yellow,nail-art-yellow,NAIL014,4.99,4.99,,1
3244,Two Way Nail Art - Silver Glitter,nail-art-silver-glitter,NAIL013,4.99,4.99,,1
3235,Two Way Nail Art - Lilac,nail-art-lilac,NAIL005,4.99,4.99,,1
3249,Two Way Nail Art - Dark Brown,nail-art-dark-brown,NAIL016,4.99,4.99,,1
3182,Sterling Silver Hoop Earrings,silver-hoop-earrings,EAR003,14.99,19.99,5.99,2
3233,Two Way Nail Art - Maroon,nail-art-maroon,NAIL004,4.99,4.99,,1
3231,Two Way Nail Art - White,nail-art-white,NAIL003,4.99,4.99,,1
3230,Two Way Nail Art - Lavender,nail-art-lavender,NAIL002,4.99,4.99,,1
3135,One Direction Silicone Band  - You Don't Know You're Beautiful,one-direction-beauty,BRACE026,7.99,7.99,,4
3139,One Direction Silicone Band  - You Got That One Thing,one-direction-thing,BRACE027,7.99,7.99,,2
